counter,t (in s),lat0 (in decimal degrees),long0 (in decimal degrees),roll (in rad),pitch (in rad),yaw (in rad),winddir (in rad),windspeed (in m/s),filteredwinddir (in rad),filteredwindspeed (in m/s),heading (in rad),theta (in rad),psi (in rad),latitude (in decimal degrees),longitude (in decimal degrees),x (in m),y (in m),ax (in m),ay (in m),bx (in m),by (in m),CurWP,wpslat[CurWP] (in decimal degrees),wpslong[CurWP] (in decimal degrees),e (in m),norm_ma (in m),norm_bm (in m),state,deltag (in rad),deltavmax (in rad),phi+gammabar (in rad)
1,76.09112,47.45943,-0.59244,-0.00475,0.087162,2.270487,4.310963,2.7,4.364528,2.799,4.026475,-2.4419,0.347861,47.45943,-0.59244,0,0,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.545,337.2912,357.3539,0,-0.7,0.907831,-0.74842
2,76.43554,47.45943,-0.59244,-0.0046,0.087128,2.270308,4.265585,2.6,4.36354,2.79701,4.024729,-2.44208,0.348849,47.45943,-0.59244,0,0,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.545,337.2912,357.3539,0,-0.7,0.906963,-0.74842
3,76.92531,47.45943,-0.59244,-0.00479,0.08684,2.270088,4.221951,2.5,4.362128,2.79404,4.024729,-2.4423,0.350261,47.45943,-0.59244,0.1253,0,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.42,337.1723,357.2405,0,-0.7,0.905723,-0.74842
4,77.41975,47.45943,-0.59244,-0.00457,0.086972,2.270334,4.194026,2.5,4.360455,2.7911,4.022984,-2.44206,0.351934,47.45943,-0.59244,0.1253,0,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.42,337.1723,357.2405,0,-0.7,0.904252,-0.74842
5,77.92003,47.45943,-0.59244,-0.00383,0.086062,2.270654,4.166101,2.4,4.358523,2.787189,4.021239,-2.44174,0.353866,47.45943,-0.59244,0.1253,0,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.42,337.1723,357.2405,0,-0.7,0.902553,-0.74842
6,78.41987,47.45943,-0.59244,-0.00344,0.086121,2.270264,4.153884,2.3,4.356489,2.782317,4.026475,-2.44213,0.3559,47.45943,-0.59244,0.1253,0,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.42,337.1723,357.2405,0,-0.7,0.900765,-0.74842
7,78.91987,47.45943,-0.59244,-0.00316,0.085907,2.270591,4.164356,2.2,4.354578,2.776493,4.042183,-2.4418,0.357811,47.45943,-0.59244,0.1253,0,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.42,337.1723,357.2405,0,-0.7,0.899083,-0.74842
8,79.42523,47.45943,-0.59244,-0.00276,0.085521,2.270146,4.173082,2.2,4.352771,2.770729,4.071853,-2.44224,0.359618,47.45943,-0.59244,0.1253,0,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.42,337.1723,357.2405,0,-0.7,0.897494,-0.74842
9,79.92542,47.45943,-0.59244,-0.0025,0.085265,2.270581,4.190536,2.1,4.351154,2.764021,4.08058,-2.44181,0.361235,47.45943,-0.59243,0.250601,-0.18533,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.297,337.1116,357.0483,0,-0.7,0.89607,-0.74842
10,80.42587,47.45943,-0.59244,-0.00278,0.085053,2.270917,4.181809,1.9,4.349466,2.755381,4.087561,-2.44147,0.362923,47.45943,-0.59243,0.250601,-0.18533,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.297,337.1116,357.0483,0,-0.7,0.894585,-0.74842
11,80.92543,47.45943,-0.59244,-0.00301,0.085831,2.271085,4.180064,1.9,4.347778,2.746827,4.091052,-2.4413,0.364611,47.45943,-0.59243,0.250601,-0.18533,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.297,337.1116,357.0483,0,-0.7,0.893098,-0.74842
12,81.42557,47.45943,-0.59244,-0.00308,0.086279,2.271121,4.178318,1.8,4.346089,2.737359,4.089306,-2.44127,0.3663,47.45943,-0.59243,0.250601,-0.18533,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.297,337.1116,357.0483,0,-0.7,0.891611,-0.74842
13,81.92535,47.45943,-0.59244,-0.00322,0.085798,2.271885,4.183554,1.8,4.344468,2.727985,4.091052,-2.4405,0.367921,47.45943,-0.59243,0.250601,-0.18533,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.297,337.1116,357.0483,0,-0.7,0.890183,-0.74842
14,82.42573,47.45943,-0.59244,-0.00342,0.085291,2.272285,4.183554,1.7,4.342863,2.717705,4.091052,-2.4401,0.369526,47.45943,-0.59243,0.250601,-0.18533,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.297,337.1116,357.0483,0,-0.7,0.888769,-0.74842
15,82.91989,47.45943,-0.59244,-0.00291,0.084731,2.272979,4.199262,1.7,4.341429,2.707528,4.092797,-2.43941,0.37096,47.45943,-0.59243,0.250601,-0.18533,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.297,337.1116,357.0483,0,-0.7,0.887505,-0.74842
16,83.42005,47.45943,-0.59244,-0.00263,0.08474,2.272471,4.216715,1.6,4.340183,2.696453,4.092797,-2.43992,0.372206,47.45943,-0.59243,0.250601,-0.18533,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.297,337.1116,357.0483,0,-0.7,0.886407,-0.74842
17,83.91998,47.45943,-0.59244,-0.00223,0.084878,2.272686,4.24115,1.6,4.339193,2.685489,4.094542,-2.4397,0.373196,47.45943,-0.59243,0.250601,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.299,337.1699,356.9696,0,-0.7,0.885534,-0.74842
18,84.42527,47.45943,-0.59244,-0.00208,0.085162,2.272756,4.269075,1.6,4.338491,2.674634,4.096288,-2.43963,0.373898,47.45943,-0.59243,0.250601,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.299,337.1699,356.9696,0,-0.7,0.884915,-0.74842
19,84.92595,47.45943,-0.59244,-0.00133,0.085829,2.273369,4.263839,1.7,4.337743,2.664887,4.094542,-2.43902,0.374646,47.45943,-0.59243,0.250601,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.299,337.1699,356.9696,0,-0.7,0.884256,-0.74842
20,85.42004,47.45943,-0.59244,-0.00118,0.085554,2.273532,4.223697,1.7,4.336603,2.655239,4.094542,-2.43886,0.375786,47.45943,-0.59243,0.250601,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.299,337.1699,356.9696,0,-0.7,0.883251,-0.74842
21,85.9201,47.45943,-0.59244,-0.00233,0.085532,2.273793,4.221951,1.8,4.335457,2.646686,4.096288,-2.4386,0.376932,47.45943,-0.59243,0.250601,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.299,337.1699,356.9696,0,-0.7,0.88224,-0.74842
22,86.44037,47.45943,-0.59244,-0.00237,0.085039,2.273753,4.24115,1.8,4.334513,2.638219,4.099778,-2.43864,0.377876,47.45943,-0.59243,0.250601,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.299,337.1699,356.9696,0,-0.7,0.881408,-0.74842
23,86.92049,47.45943,-0.59244,-0.00275,0.084653,2.274385,4.269075,1.8,4.333858,2.629837,4.115486,-2.438,0.378531,47.45943,-0.59243,0.250601,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.299,337.1699,356.9696,0,-0.7,0.88083,-0.74842
24,87.42535,47.45943,-0.59244,-0.00235,0.085117,2.273958,4.29351,1.9,4.333454,2.622539,4.164356,-2.43843,0.378935,47.45943,-0.59243,0.250601,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.299,337.1699,356.9696,0,-0.7,0.880473,-0.74842
25,87.92599,47.45943,-0.59244,-0.00266,0.085595,2.274616,4.354596,2,4.333666,2.616313,4.221951,-2.43777,0.378723,47.45943,-0.59243,0.250601,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.299,337.1699,356.9696,0,-0.7,0.88066,-0.74842
26,88.42559,47.45943,-0.59244,-0.00278,0.086117,2.27474,4.338889,2.1,4.333718,2.61115,4.190536,-2.43765,0.378671,47.45943,-0.59243,0.250601,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.299,337.1699,356.9696,0,-0.7,0.880706,-0.74842
27,88.92606,47.45943,-0.59244,-0.00336,0.086,2.274767,4.199262,2,4.332375,2.605039,4.068362,-2.43762,0.380014,47.45943,-0.59244,0.1253,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.425,337.2888,357.0831,0,-0.7,0.879521,-0.74842
28,89.42568,47.45943,-0.59244,-0.00328,0.087024,2.275471,4.077089,2,4.329843,2.598988,3.928736,-2.43692,0.382546,47.45943,-0.59244,0.1253,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.425,337.2888,357.0831,0,-0.7,0.877288,-0.74842
29,89.92723,47.45943,-0.59244,-0.00382,0.087479,2.275442,4.042183,1.9,4.326998,2.591998,3.865904,-2.43695,0.38539,47.45943,-0.59244,0.1253,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.425,337.2888,357.0831,0,-0.7,0.874777,-0.74842
30,90.42562,47.45943,-0.59244,-0.00314,0.087082,2.275961,4.155629,2,4.325288,2.586078,3.890339,-2.43643,0.387101,47.45943,-0.59244,0.1253,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.425,337.2888,357.0831,0,-0.7,0.873268,-0.74842
31,90.92596,47.45943,-0.59244,-0.00309,0.087255,2.276181,4.310963,2.3,4.325145,2.583218,4.000295,-2.43621,0.387244,47.45943,-0.59244,0.1253,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.425,337.2888,357.0831,0,-0.7,0.873141,-0.74842
32,91.4256,47.45943,-0.59244,-0.00282,0.086857,2.276251,4.358087,2.5,4.325475,2.582385,4.125958,-2.43614,0.386914,47.45943,-0.59244,0.1253,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.425,337.2888,357.0831,0,-0.7,0.873432,-0.74842
33,91.92664,47.45943,-0.59244,-0.00263,0.086968,2.275255,4.431391,2.6,4.326535,2.582562,4.277802,-2.43713,0.385854,47.45943,-0.59244,0.1253,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.425,337.2888,357.0831,0,-0.7,0.874368,-0.74842
34,92.42584,47.45943,-0.59244,-0.00306,0.086879,2.274959,4.483751,2.6,4.328105,2.582736,4.358087,-2.43743,0.384284,47.45943,-0.59244,0.1253,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.425,337.2888,357.0831,0,-0.7,0.875754,-0.74842
35,92.926,47.45943,-0.59244,-0.00317,0.086823,2.275015,4.509931,2.6,4.329919,2.582909,4.392994,-2.43737,0.38247,47.45943,-0.59244,0.1253,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.425,337.2888,357.0831,0,-0.7,0.877355,-0.74842
36,93.42583,47.45943,-0.59244,-0.00269,0.086736,2.275324,4.471534,2.8,4.331335,2.58508,4.399975,-2.43707,0.381054,47.45943,-0.59244,0.1253,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.425,337.2888,357.0831,0,-0.7,0.878604,-0.74842
37,93.92583,47.45943,-0.59244,-0.00231,0.0858,2.276148,4.440118,3.1,4.332424,2.590229,4.40172,-2.43624,0.379965,47.45943,-0.59244,0.1253,-0.55598,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.427,337.3473,357.0045,0,-0.7,0.879565,-0.74842
38,94.4258,47.45943,-0.59244,-0.00189,0.086228,2.275345,4.410447,3.3,4.333206,2.597326,4.391248,-2.43704,0.379183,47.45943,-0.59244,0.1253,-0.55598,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.427,337.3473,357.0045,0,-0.7,0.880255,-0.74842
39,94.92672,47.45943,-0.59244,-0.00161,0.085929,2.275023,4.340634,3.5,4.333281,2.606353,4.340634,-2.43737,0.379108,47.45943,-0.59244,0.1253,-0.55598,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.427,337.3473,357.0045,0,-0.7,0.880321,-0.74842
40,95.4257,47.45943,-0.59244,-0.00175,0.085792,2.274575,4.310963,3.7,4.333057,2.61729,4.309218,-2.43781,0.379332,47.45943,-0.59244,0.1253,-0.55598,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.427,337.3473,357.0045,0,-0.7,0.880123,-0.74842
41,95.92624,47.45943,-0.59244,-0.00138,0.085856,2.275212,4.297001,3.8,4.332695,2.629117,4.286529,-2.43718,0.379694,47.45943,-0.59244,0,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.55,337.4078,357.1966,0,-0.7,0.879804,-0.74842
42,96.4258,47.45943,-0.59244,-0.0016,0.085869,2.275452,4.309218,3.9,4.33246,2.641826,4.290019,-2.43694,0.379929,47.45943,-0.59244,0,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.55,337.4078,357.1966,0,-0.7,0.879596,-0.74842
43,96.92604,47.45943,-0.59244,-0.00187,0.085936,2.275678,4.316199,4.1,4.332297,2.656407,4.277802,-2.43671,0.380092,47.45943,-0.59244,0,-0.55598,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.552,337.4662,357.118,0,-0.7,0.879453,-0.74842
44,97.42568,47.45943,-0.59244,-0.00166,0.086516,2.275091,4.323181,4.2,4.332205,2.671843,4.281293,-2.4373,0.380184,47.45943,-0.59244,0,-0.55598,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.552,337.4662,357.118,0,-0.7,0.879372,-0.74842
45,97.92592,47.45943,-0.59244,-0.00126,0.086126,2.275034,4.338889,4.3,4.332272,2.688125,4.303982,-2.43736,0.380117,47.45943,-0.59244,0,-0.55598,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.552,337.4662,357.118,0,-0.7,0.879431,-0.74842
46,98.4259,47.45943,-0.59244,-0.00187,0.086083,2.274768,4.358087,4.3,4.332531,2.704244,4.328417,-2.43762,0.379858,47.45943,-0.59244,0,-0.55598,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.552,337.4662,357.118,0,-0.7,0.879659,-0.74842
47,98.92681,47.45943,-0.59244,-0.00179,0.085766,2.275182,4.359832,4.4,4.332805,2.721201,4.333653,-2.43721,0.379584,47.45943,-0.59244,0,-0.55598,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.552,337.4662,357.118,0,-0.7,0.879901,-0.74842
48,99.42581,47.45943,-0.59244,-0.00215,0.085791,2.275019,4.323181,4.4,4.332708,2.737989,4.300491,-2.43737,0.379681,47.45943,-0.59244,0,-0.55598,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.552,337.4662,357.118,0,-0.7,0.879816,-0.74842
49,99.92625,47.45943,-0.59244,-0.0018,0.085817,2.276234,4.265585,4.3,4.332036,2.753609,4.248131,-2.43616,0.380353,47.45943,-0.59244,0,-0.37065,320.2369,105.8946,323.4839,-151.855,1,47.45807,-0.58813,-321.55,337.4078,357.1966,0,-0.7,0.879222,-0.74842
